,Année,Région de résidence,Statut de l'utilisateur,Nombre_de_véhicules,Kilometrage,Type de véhicule
152,2019,Auvergne-Rhône-Alpes,Particulier,4478475.0,11860.89418889035,Thermiques
153,2019,Bourgogne-Franche-Comté,Particulier,1665906.0,12260.066586408433,Thermiques
154,2019,Bretagne,Particulier,1974053.0,12541.264816917912,Thermiques
155,2019,Centre-Val de Loire,Particulier,1510958.0,12141.820970879979,Thermiques
156,2019,Corse,Particulier,187921.0,10129.235651520788,Thermiques
157,2019,Grand Est,Particulier,3138673.0,12526.71127780365,Thermiques
158,2019,Guadeloupe,Particulier,173202.0,13752.05635482992,Thermiques
159,2019,Guyane,Particulier,51938.0,13888.96063976613,Thermiques
160,2019,Hauts-de-France,Particulier,3111156.0,12528.611716999249,Thermiques
162,2019,La Réunion,Particulier,357258.0,12619.93051105582,Thermiques
163,2019,Martinique,Particulier,181738.0,12417.063495828177,Thermiques
164,2019,Mayotte,Particulier,17237.0,14283.645778396613,Thermiques
165,2019,Normandie,Particulier,1889139.0,12428.641482816933,Thermiques
166,2019,Nouvelle-Aquitaine,Particulier,3641675.0,12100.87768468453,Thermiques
167,2019,Occitanie,Particulier,3446305.0,12098.338014217989,Thermiques
168,2019,Pays de la Loire,Particulier,2161742.0,12352.151354741563,Thermiques
169,2019,Provence-Alpes-Côte d'Azur,Particulier,2816824.0,11094.286094201121,Thermiques
170,2019,Île-de-France,Particulier,4552625.0,11050.219275116158,Thermiques
